sex,bs,n_breed,divorce,age,breed_exp,boldness,mate_boldness,year,last_bs
M,0.75,4,0,26,5,0.5031592,0.4379688,2011,1
F,1,1,0,16,2,NA,NA,2001,1
F,0.5,4,0,20,5,NA,NA,2005,1
M,1,5,0,20,6,NA,NA,2007,1
M,0.75,4,0,20,4,NA,NA,2008,1
F,0.875,8,0,23,8,1.725945,1.873853,2011,1
NA,0.5,2,0,10,2,NA,NA,1996,1
F,1,2,0,12,2,NA,0.5198069,1998,1
NA,1,2,0,11,2,NA,NA,1997,1
F,0.75,4,0,19,5,2.98025,NA,2005,1
F,0.75,4,0,24,8,2.98025,NA,2010,0
M,1,3,0,22,4,2.648117,NA,2008,1
M,1,1,0,25,4,2.648117,NA,2011,1
M,1,5,0,21,5,NA,NA,2007,1
F,1,5,0,22,5,NA,NA,2008,1
NA,0.833333333,6,0,23,6,1.448773,NA,2009,1
M,1,1,1,14,2,NA,NA,2000,1
M,1,6,0,25,7,NA,1.653779,2011,1
M,0.6,5,0,18,6,1.290092,NA,2004,1
M,0.8,5,0,25,10,1.290092,3.072549,2011,1
M,0.5,2,1,19,3,2.067314,NA,2005,1
M,1,3,0,25,5,2.067314,0.2533622,2011,1
M,0.875,8,0,24,8,0.4585335,3.093148,2010,1
F,0.666666667,3,0,22,3,NA,2.535364,2008,0
M,0.75,4,0,15,4,NA,0.4502542,2001,1
M,0.5,6,0,24,7,2.498461,NA,2010,0
M,1,4,0,17,4,NA,0.1602343,2003,1
F,0.5,4,0,14,5,NA,1.232309,2000,1
F,0.5,2,1,16,3,NA,NA,2002,1
M,1,8,0,24,8,-0.05122678,0.4426708,2010,1
M,0.777777778,9,0,25,9,0.425052,2.729198,2011,1
M,0,1,0,12,2,2,NA,1998,0
M,1,1,1,16,3,2,2.948773,2002,1
M,1,1,1,20,4,2,1.602934,2006,1
M,1,2,0,25,5,2,1.519807,2011,1
M,0.75,4,0,16,4,NA,NA,2002,1
M,0.875,8,0,25,8,NA,0.4825872,2011,1
M,1,5,0,24,6,1.493024,NA,2010,1
M,0.5,2,0,18,2,NA,NA,2004,1
M,1,6,0,23,6,NA,NA,2009,1
M,1,5,0,18,5,NA,0.2131707,2004,1
M,0.75,4,1,17,5,1.681068,NA,2003,1
M,1,1,0,20,6,1.681068,NA,2006,1
M,1,3,0,24,8,1.681068,0.9487732,2010,1
M,1,2,0,15,3,2.519807,NA,2002,1
M,1,5,0,24,7,2.519807,3.153779,2011,1
F,0.75,4,0,17,5,NA,NA,2004,1
F,0.75,4,0,12,4,NA,-0.01974955,1999,1
M,0.5,4,0,17,4,NA,2.713582,2004,0
F,NA,1,0,20,2,NA,NA,1988,NA
F,1,1,0,23,3,NA,NA,1991,1
F,0.666666667,3,0,26,5,NA,NA,1994,1
M,0.5,4,0,15,4,NA,1.136944,2002,1
M,1,2,0,13,2,NA,NA,2000,1
F,1,1,1,13,2,NA,1.639227,2000,1
F,1,3,0,18,4,NA,2.648117,2005,1
M,1,6,0,24,6,3.368348,1.455522,2011,1
M,1,1,0,13,2,NA,NA,2000,1
M,0.5,2,0,14,3,NA,NA,2001,1
M,0,1,0,11,2,NA,NA,1998,0
M,1,5,1,23,7,NA,3.519807,2010,1
F,0.833333333,6,0,24,6,1.421274,1.956759,2011,1
F,0.714285714,7,0,23,8,1.862309,NA,2010,1
F,1,1,0,16,2,NA,NA,2003,1
M,0.875,8,0,24,8,1.873853,1.725945,2011,1
F,1,5,0,18,5,NA,NA,2005,1
M,1,5,0,18,5,NA,NA,2005,1
M,0.333333333,3,0,20,4,1.195612,NA,2007,1
M,0.25,4,0,24,7,1.195612,0.4515586,2011,0
F,1,2,0,12,2,NA,1.648117,1999,1
F,0.75,4,0,18,5,NA,NA,2005,1
F,1,1,0,22,5,NA,1.347735,2009,1
M,1,3,1,19,4,NA,NA,2006,1
F,1,4,0,18,4,NA,2.760096,2005,1
M,0.75,4,0,20,5,1.791851,NA,2007,1
M,1,3,0,24,7,1.791851,2.614806,2011,1
M,1,7,0,23,7,0.1097958,1.862309,2010,1
F,1,5,0,20,6,0.9662814,NA,2007,1
F,1,3,0,24,8,0.9662814,0.542505,2011,1
M,0.5,2,0,23,3,2.109796,NA,2010,0
F,1,3,0,17,4,2.777318,NA,2004,1
F,1,4,0,23,7,2.777318,2.109796,2010,1
M,1,1,1,20,2,NA,3.212249,2007,1
M,1,3,0,14,3,NA,2.777318,2001,1
M,1,1,1,11,2,1.922607,3.250362,1998,1
M,1,1,0,15,3,1.922607,NA,2002,1
M,1,1,1,19,4,1.922607,3.250362,2006,1
M,1,3,0,23,6,1.922607,3.109796,2010,1
M,0,2,0,11,2,NA,NA,1998,0
M,0.666666667,3,0,18,4,NA,NA,2006,0
M,0.5,2,0,21,5,NA,NA,2009,1
F,0.5,2,0,12,2,NA,NA,2000,1
M,1,4,0,19,4,NA,NA,2007,1
F,0.75,4,0,15,4,NA,1.347735,2003,1
M,0.833333333,6,0,21,6,3.483334,3.37567,2009,1
F,0.5,2,0,16,2,NA,NA,2004,1
F,1,5,0,19,5,NA,1.738147,2007,1
F,0.8,5,0,24,5,NA,NA,1992,0
F,1,2,0,13,2,NA,0.3926112,2003,1
M,0,1,0,15,2,3.220046,NA,2005,0
M,1,4,0,21,5,3.220046,3.425052,2011,1
M,1,1,0,21,2,NA,NA,1989,1
M,0,2,0,22,3,NA,NA,1990,0
F,0.666666667,3,0,13,3,NA,NA,2003,0
M,0.75,4,0,16,4,3.212249,NA,2006,1
F,0.666666667,6,0,20,6,2.397859,0.647859,2010,1
F,1,5,0,20,5,1.513279,2.821046,2010,1
M,1,4,0,18,4,2.413536,NA,2008,1
F,1,4,0,15,4,NA,1.99091,2005,1
F,0.666666667,3,0,15,4,1.690107,NA,2004,0
F,1,1,0,18,5,1.690107,NA,2007,1
F,0.333333333,3,0,21,7,1.690107,1.015978,2010,1
M,1,2,0,11,2,NA,2.055522,2000,1
M,0.857142857,7,0,21,7,0.6222456,2.340168,2010,1
M,0.75,4,0,15,4,NA,0.8921932,2004,1
M,0.833333333,6,0,24,6,NA,0.01440164,1992,1
M,1,1,0,14,2,NA,NA,2003,1
M,0,1,0,15,2,NA,2.055522,2004,0
F,0.625,8,0,21,9,3.572549,NA,2010,1
M,0.4,5,0,22,5,1.448773,3.362309,2011,1
M,1,2,0,15,3,0.1097958,NA,2004,1
M,1,4,0,21,6,0.1097958,1.623425,2010,1
F,0.666666667,6,0,20,7,1.681068,NA,2009,0
M,1,1,0,13,2,NA,NA,2002,1
M,1,2,0,15,3,NA,NA,2004,1
M,0.666666667,3,0,13,3,NA,NA,2003,1
F,0.75,4,1,15,5,NA,0.1157814,2005,0
F,1,3,0,19,7,NA,2.018001,2009,1
M,1,1,1,13,2,2.668077,1.293171,2003,1
M,0.75,4,0,19,5,2.668077,1.204226,2009,0
F,0,1,1,9,2,NA,NA,1999,0
F,0.75,4,0,14,5,NA,2.383992,2004,0
M,1,1,0,14,2,2.109796,NA,2004,1
M,1,4,0,21,5,2.109796,2.777318,2011,1
M,1,2,0,20,3,1.886693,NA,2010,1
M,0.5,2,0,21,4,1.886693,2.798154,2011,1
F,1,4,1,18,5,0.1169208,-0.1789539,2008,1
F,1,2,0,20,6,0.1169208,0.788892,2010,1
M,0.6,5,0,21,5,0.7917126,NA,2011,1
M,1,1,0,19,2,3.519807,NA,2009,1
M,1,2,0,21,3,3.519807,3.000362,2011,1
M,0.8,5,1,20,6,0.3135838,2.644375,2010,0
M,1,2,0,13,2,NA,3.109796,2003,1
M,1,2,0,17,3,0.7339003,NA,2006,1
M,1,3,0,22,5,0.7339003,1.602934,2011,1
M,0.857142857,7,0,22,7,2.098163,1.453362,2011,1
M,1,2,0,13,2,NA,NA,2002,1
F,0.75,8,0,21,8,-0.2259256,1.415381,2010,1
M,0.5,2,0,11,2,NA,NA,2000,0
F,1,3,0,16,3,NA,NA,1984,1
F,1,1,1,11,2,1.648117,NA,2001,1
F,0.75,4,0,13,4,NA,1.029859,2003,1
M,1,2,0,20,2,0.7341007,0.9956122,2010,1
M,0.666666667,6,0,20,6,2.109796,1.604627,2010,1
F,1,3,0,12,3,NA,1,2002,1
M,1,2,0,14,3,0.09089471,NA,2004,1
M,1,1,0,18,4,0.09089471,NA,2008,1
M,1,2,0,20,5,0.09089471,0.3498411,2010,1
M,1,2,0,16,3,1.322549,NA,2006,1
M,1,3,0,21,5,1.322549,0.5353644,2011,1
M,0.666666667,3,0,14,3,NA,NA,2004,0
F,0.5,2,0,11,2,NA,2.948773,2001,1
F,1,4,0,15,4,NA,NA,2005,1
M,1,2,0,16,2,NA,0.9662814,2005,1
M,0.666666667,3,0,17,3,NA,NA,2006,1
M,0.857142857,7,0,22,7,1.725945,1.798154,2011,1
M,1,2,1,13,3,3.298154,NA,2002,1
M,1,3,0,19,6,3.298154,NA,2008,1
F,0.5,2,0,9,2,NA,3.648117,1998,1
M,0.5,6,0,22,6,1.135364,1.644375,2011,0
M,1,4,0,22,4,NA,0.1537788,2011,1
F,0.857142857,7,0,21,7,1.448773,1.5,2010,1
M,1,4,0,16,4,NA,NA,2005,1
M,1,5,0,22,5,1.862309,1.961026,2011,1
F,1,6,0,21,6,2.086346,3.684725,2010,1
M,0.857142857,7,0,20,7,3.475433,1.18143,2009,1
F,1,2,1,14,3,NA,3.298154,2003,1
F,0.666666667,3,0,17,5,NA,NA,2006,1
M,1,5,0,21,5,2.934101,3.11361,2010,1
M,0.857142857,7,0,21,7,1.5,1.448773,2010,1
F,1,7,0,21,7,1.862309,0.1097958,2010,1
M,1,2,0,13,2,NA,NA,2002,1
F,0.5,2,0,11,2,NA,1.212249,2000,1
F,0.5,2,0,11,2,NA,2.527175,2000,1
M,1,1,0,22,2,NA,NA,1991,1
